29/05/2016,Mixed Starter,2
29/05/2016,Aloo Gobi,3
29/05/2016,Bombay Aloo,3
29/05/2016,Cauliflower Bhajee,1
29/05/2016,Mushroom Bhajee,1
29/05/2016,Saag Aloo,2
29/05/2016,Lamb Chops,1
29/05/2016,King Prawn Puree,1
29/05/2016,Tarka Dall,1
29/05/2016,Madras,4
29/05/2016,Chicken Tikka (Main),1
29/05/2016,Paneer Tikka Masala,1
29/05/2016,Chicken Tikka Masala,7
29/05/2016,Tandoori Chicken (Main),1
29/05/2016,Chicken Tikka Jalfrezi,3
29/05/2016,Murgh Masala,1
29/05/2016,Kurma,3
29/05/2016,Chicken Tikka Pasanda,1
29/05/2016,Pathia,1
29/05/2016,Bhuna,2
29/05/2016,Lamb Tikka Jalfrezi,1
29/05/2016,Rogon,1
29/05/2016,Garlic Chicken,1
29/05/2016,Paneer Shaslick,1
29/05/2016,Chicken Biryani,1
29/05/2016,Dhansak,1
29/05/2016,Tandoori Chicken Masala,1
29/05/2016,Lamb Biryani,2
29/05/2016,Lamb Chops (Main),1
29/05/2016,Chicken Tikka Balti,1
29/05/2016,Chicken Tikka Biryani,2
29/05/2016,Tandoori Mixed Grill,3
30/05/2016,Onion Chutney,6
30/05/2016,Mango Chutney,5
30/05/2016,Mint Sauce,6
30/05/2016,Red Sauce,2
30/05/2016,Plain Papadum,26
30/05/2016,Chapati,2
30/05/2016,Naan,6
30/05/2016,Garlic Naan,9
30/05/2016,Pilau Rice,12
30/05/2016,Keema Naan,2
30/05/2016,Peshwari Naan,4
30/05/2016,Kulcha Naan,2
30/05/2016,Plain Rice,1
30/05/2016,Mushroom Rice,2
30/05/2016,Onion Bhaji,2
30/05/2016,Special Fried Rice,3
30/05/2016,Onion Rice,1
30/05/2016,Mini Bhaji,4
30/05/2016,Lemon Rice,1
30/05/2016,Crispy Aloo,3
30/05/2016,French Fries,1
30/05/2016,Vegetable Rice,1
30/05/2016,Meat Samosa,1
30/05/2016,Prawn Puree,3
30/05/2016,Chana Chaat,1
30/05/2016,Sheek Kehab,1
30/05/2016,Aloo Chaat,1
30/05/2016,Tandoori Chicken,1
30/05/2016,Vegetable Samba,1
30/05/2016,Saag Aloo,2
30/05/2016,Bombay Aloo,5
30/05/2016,Brinjal Bhajee,1
30/05/2016,Cauliflower Bhajee,1
30/05/2016,Tarka Dall,1
30/05/2016,Royal Paneer,1
30/05/2016,Mixed Starter,2
30/05/2016,Mushroom Bhajee,1
30/05/2016,Curry,2
30/05/2016,Madras,4
30/05/2016,Dupiaza,2
30/05/2016,Chicken Tikka Pasanda,3
30/05/2016,Chicken Tikka Masala,4
30/05/2016,Pathia,1
30/05/2016,Kurma,4
30/05/2016,Saag,1
30/05/2016,Tandoori Chicken (Main),1
30/05/2016,Chicken Tikka (Main),1
30/05/2016,Lal Mirch Lamb,1
30/05/2016,Chicken Rezala,1
30/05/2016,Lamb Tikka Pasanda,1
30/05/2016,Bhuna,1
30/05/2016,Lamb Balti,1
30/05/2016,Paneer Shaslick,1
30/05/2016,Chicken Tikka Karahi,1
30/05/2016,Chicken Biryani,1
30/05/2016,Lamb Shashlick Curry,1
30/05/2016,Tandoori Fish Jalfrezi,1
30/05/2016,King Prawn Shaslick,1
1/6/2016,Mango Chutney,6
1/6/2016,Onion Chutney,2
1/6/2016,Mint Sauce,3
1/6/2016,Red Sauce,1
1/6/2016,Plain Papadum,22
1/6/2016,Chapati,2
1/6/2016,Naan,5
1/6/2016,Plain Rice,5
1/6/2016,Pilau Rice,10
1/6/2016,Keema Naan,6
1/6/2016,Garlic Naan,7
1/6/2016,Peshwari Naan,2
1/6/2016,Mushroom Rice,4
1/6/2016,Onion Bhaji,6
1/6/2016,Meat Samosa,3
1/6/2016,Lemon Rice,2
1/6/2016,French Fries,1
1/6/2016,Mini Bhaji,1
1/6/2016,Onion Rice,2
1/6/2016,Garlic Rice,1
1/6/2016,Saag Rice,1
1/6/2016,Vegetable Samosa,1
1/6/2016,Chicken Tikka,1
1/6/2016,Chana Chaat,2
1/6/2016,Aloo Chaat,1
1/6/2016,Saag Aloo,5
1/6/2016,Bombay Aloo,4
1/6/2016,Tarka Dall,1
1/6/2016,Royal Paneer,1
1/6/2016,Muttar Paneer,1
1/6/2016,Madras,3
1/6/2016,Curry,2
1/6/2016,Mushroom,1
1/6/2016,Kurma,4
1/6/2016,Chicken Tikka Masala,4
